year,month,species,sciname,length_cm,frequency
2016,12,APOJA00,Jaydia sp.,4,33
2016,12,APOJA00,Jaydia sp.,5,145
2016,12,APOJA00,Jaydia sp.,6,229
2016,12,APOJA00,Jaydia sp.,7,267
2016,12,APOJA00,Jaydia sp.,8,227
2016,12,APOJA00,Jaydia sp.,9,92
2016,12,APOJA00,Jaydia sp.,10,30
2016,12,APOJA00,Jaydia sp.,11,2
2016,12,APOJA00,Jaydia sp.,12,1
2016,12,APOJA23,Jaydia ellioti,4,16
2016,12,APOJA23,Jaydia ellioti,5,22
2016,12,APOJA23,Jaydia ellioti,6,6
2016,12,APOJA23,Jaydia ellioti,7,1
2016,12,APOOS01,Ostorhinchus fasciatus,4,4
2016,12,APOOS01,Ostorhinchus fasciatus,5,32
2016,12,APOOS01,Ostorhinchus fasciatus,6,19
2016,12,APOOS01,Ostorhinchus fasciatus,7,9
2016,12,APOOS01,Ostorhinchus fasciatus,8,19
2016,12,APOOS01,Ostorhinchus fasciatus,9,10
2016,12,APOOS01,Ostorhinchus fasciatus,10,5
2016,12,APOOS01,Ostorhinchus fasciatus,12,1
2016,12,BOTPS02,Pseudorhombus elevatus,10,1
2016,12,BOTPS02,Pseudorhombus elevatus,11,1
2016,12,BOTPS02,Pseudorhombus elevatus,16,1
2016,12,BOTPS02,Pseudorhombus elevatus,20,1
2016,12,BREBR00,Bregmaceros sp.,7,2
2016,12,BREBR00,Bregmaceros sp.,8,1
2016,12,CARAL03,Alectis ciliaris,22,1
2016,12,CARCS00,Carangoides sp.,4,1
2016,12,CARCS00,Carangoides sp.,13,2
2016,12,CARCS00,Carangoides sp.,15,1
2016,12,CARCS00,Carangoides sp.,17,2
2016,12,CARCS06,Carangoides armatus,20,1
2016,12,CARDE00,Decapterus sp.,16,1
2016,12,CARME01,Megalaspis cordyla,19,2
2016,12,CARME01,Megalaspis cordyla,20,2
2016,12,CARME01,Megalaspis cordyla,23,2
2016,12,CARME01,Megalaspis cordyla,24,1
2016,12,CARPA01,Parastromateus niger,28,1
2016,12,CARPA01,Parastromateus niger,35,1
2016,12,CARSA01,Selar crumenophthalmus,21,1
2016,12,CARSC02,Scomberoides commersonianus,46,1
2016,12,CLUDU01,Dussumieria acuta,10,4
2016,12,CLUDU01,Dussumieria acuta,11,1
2016,12,CLUDU01,Dussumieria acuta,16,1
2016,12,CLUES01,Escualosa thoracata,3,28
2016,12,CLUES01,Escualosa thoracata,4,70
2016,12,CLUES01,Escualosa thoracata,7,301
2016,12,CLUSL07,Sardinella longiceps,16,1
2016,12,CLUSL07,Sardinella longiceps,17,1
2016,12,CONRH00,Rhynchoconger sp.,39,1
2016,12,CRAAA00,CRABS,1.1,6
2016,12,CRAAA00,CRABS,2,25
2016,12,CRAAA00,CRABS,2.1,12
2016,12,CRAAA00,CRABS,3,3
2016,12,CRAAA00,CRABS,4,1
2016,12,CRAAA00,CRABS,5,9
2016,12,CRAAA00,CRABS,6,1
2016,12,CRAAA00,CRABS,10,1
2016,12,CRAAA00,CRABS,11,1
2016,12,CRAAA00,CRABS,15,2
2016,12,CRAAA00,CRABS,20,1
2016,12,CRAAA00,CRABS,31,1
2016,12,CRAPO00,PORTUNIDAE,4,4
2016,12,CRAPO10,Charybdis sp.,5,1
2016,12,CRAPO10,Charybdis sp.,5.2,1
2016,12,CRAPO10,Charybdis sp.,7,1
2016,12,CRAPO10,Charybdis sp.,8,2
