year,month,species,length_cm,weight_gm
2016,12,APOJA00,4,1
2016,12,APOJA00,4,2
2016,12,APOJA00,5,4
2016,12,APOJA00,5,3
2016,12,APOJA00,6,3
2016,12,APOJA00,6,3
2016,12,APOJA00,6,3
2016,12,APOJA00,6,3
2016,12,APOJA00,6,5
2016,12,APOJA00,7,4
2016,12,APOJA00,7,9
2016,12,APOJA00,7,5
2016,12,APOJA00,7,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,11
2016,12,APOJA00,9,8
2016,12,APOJA00,9,8
2016,12,APOJA00,9,14
2016,12,APOJA00,4,4
2016,12,APOJA00,5,5
2016,12,APOJA00,6,5
2016,12,APOJA00,6,5
2016,12,APOJA00,7,10
2016,12,APOJA00,7,10
2016,12,APOJA00,8,10
2016,12,APOJA00,8,10
2016,12,APOJA00,9,10
2016,12,APOJA00,9,12
2016,12,APOJA00,10,15
2016,12,APOJA00,11,25
2016,12,APOJA00,5,2
2016,12,APOJA00,6,3
2016,12,APOJA00,7,8
2016,12,APOJA00,8,10
2016,12,APOJA00,5,5
2016,12,APOJA00,6,7
2016,12,APOJA00,6,10
2016,12,APOJA00,7,17
2016,12,APOJA00,7,10
2016,12,APOJA00,8,18
2016,12,APOJA00,8,12
2016,12,APOJA00,10,15
2016,12,APOJA00,11,20
2016,12,APOJA00,12,20
2016,12,APOJA00,5,2
2016,12,APOJA00,5,5
2016,12,APOJA00,6,3
2016,12,APOJA00,6,10
2016,12,APOJA00,7,12
2016,12,APOJA00,7,4
2016,12,APOJA00,8,15
2016,12,APOJA00,8,4
2016,12,APOJA00,9,15
2016,12,APOJA00,10,13
2016,12,APOJA00,5,4
2016,12,APOJA00,6,4
2016,12,APOJA00,7,5
2016,12,APOJA00,8,5
2016,12,APOJA00,8,5
2016,12,APOJA00,9,10
2016,12,APOJA00,9,10
2016,12,APOJA00,10,10
2016,12,APOJA00,5,3
2016,12,APOJA00,6,5
2016,12,APOJA00,7,7
2016,12,APOJA00,8,10
2016,12,APOJA00,8,8
2016,12,APOJA00,9,10
2016,12,APOJA00,4,3.5
2016,12,APOJA00,5,2.7
2016,12,APOJA00,5,5
2016,12,APOJA00,6,6
2016,12,APOJA00,6,3.9
2016,12,APOJA00,7,7.9
2016,12,APOJA00,7,7.2
2016,12,APOJA00,8,9
2016,12,APOJA00,8,11
2016,12,APOJA00,9,12
2016,12,APOJA00,4,2
2016,12,APOJA00,5,2
2016,12,APOJA00,5,3
2016,12,APOJA00,6,5
2016,12,APOJA00,6,4
2016,12,APOJA00,7,6
2016,12,APOJA00,7,5
2016,12,APOJA00,8,8
2016,12,APOJA00,9,11.5
2016,12,APOJA00,9,11
2016,12,APOJA00,10,15
2016,12,APOJA00,10,15
2016,12,APOJA00,5,2.5
2016,12,APOJA00,5,4
2016,12,APOJA00,6,5
2016,12,APOJA00,6,3.75
2016,12,APOJA00,7,7
2016,12,APOJA00,7,3
2016,12,APOJA00,8,5
2016,12,APOJA00,8,8
2016,12,APOJA00,9,10
2016,12,APOJA00,9,10
2016,12,APOJA00,10,10
2016,12,APOJA00,4,2
2016,12,APOJA00,5,3
2016,12,APOJA00,6,3
2016,12,APOJA00,7,8
2016,12,APOJA00,7,6
2016,12,APOJA00,8,9
2016,12,APOJA00,9,11
2016,12,APOJA00,10,10
2016,12,APOJA00,5,2.75
2016,12,APOJA00,6,6.5
2016,12,APOJA00,6,5.5
2016,12,APOJA00,7,7.5
2016,12,APOJA00,7,8.5
2016,12,APOJA00,8,10
2016,12,APOJA00,6,5
2016,12,APOJA00,7,10
2016,12,APOJA00,8,10
2016,12,APOJA00,9,12
2016,12,APOJA23,4,1
2016,12,APOJA23,5,2.5
2016,12,APOJA23,6,3
2016,12,APOJA23,7,5
2016,12,APOOS01,6,5
2016,12,APOOS01,7,5
2016,12,APOOS01,8,7
2016,12,APOOS01,9,10
2016,12,APOOS01,10,10
2016,12,APOOS01,10,15
2016,12,APOOS01,5,3
2016,12,APOOS01,5,4
2016,12,APOOS01,7,5
2016,12,APOOS01,8,15
2016,12,APOOS01,9,15
2016,12,APOOS01,10,15
2016,12,APOOS01,12,25
2016,12,APOOS01,4,3
2016,12,APOOS01,5,4
2016,12,APOOS01,6,4
2016,12,APOOS01,7,5
2016,12,APOOS01,9,6
2016,12,BOTPS02,11,70
2016,12,BOTPS02,16,80
2016,12,BOTPS02,20,100
2016,12,BOTPS02,10,10
2016,12,BREBR00,7,5
2016,12,BREBR00,8,4
2016,12,CARAL03,22,260
2016,12,CARCS00,13,60
2016,12,CARCS00,17,125
2016,12,CARCS00,13,60
2016,12,CARCS00,17,125
2016,12,CARCS00,15,50
2016,12,CARCS06,20,150
2016,12,CARDE00,16,50
2016,12,CARME01,23,170
2016,12,CARME01,24,210
2016,12,CARME01,19,75
2016,12,CARME01,19,65
2016,12,CARPA01,28,550
2016,12,CARPA01,35,1600
2016,12,CARSA01,21,155
2016,12,CARSC02,46,1200
2016,12,CLUDU01,16,40
2016,12,CLUDU01,10,9
2016,12,CLUDU01,11,10
2016,12,CLUES01,7,4
2016,12,CLUSL07,16,45
2016,12,CLUSL07,17,60
2016,12,CONRH00,39,55
2016,12,CRAAA00,2,3
2016,12,CRAAA00,2,3
2016,12,CRAAA00,6,10
2016,12,CRAAA00,4,50
2016,12,CRAAA00,3,2
2016,12,CRAPO10,8,140
2016,12,CRAPO10,5,90
2016,12,CRAPO10,5.2,120
2016,12,CRAPO10,8,120
2016,12,CRAPO38,6.2,220
2016,12,CRAPO38,5,100
2016,12,CRAPO38,6,150
2016,12,CRAPO38,6,150
2016,12,CRAPO38,5,110
2016,12,CRAPO38,6,150
2016,12,CRAPO38,6,180
2016,12,CRAPO38,7,250
2016,12,CRAPO38,7,250
2016,12,CRAPO38,4.9,50
2016,12,CRAPO38,5.2,95
