"Len","BB","GI","HD","LL","OT","PS-FS","PS-LS"
-1,5488.03387396573,4738.42511589727,1467.73660253162,1427.1944648492,4104.89312719659,1042.66915379303,18505.9344483019
10,0,0,0,23,8,0,0
14,0,0,0,131,0,0,0
18,0,0,0,245,0,0,0
22,182,303,17,265,7,0,216.9
26,942,413,35,190,14,0,2383.1
30,1308,692,83,183,20,922,57098.7
34,2007,586,107,225,50,3448.2,395585.1
38,7272,1149,304,348,51,11029.3,999487.2
42,22588,1378,323,622,39,18853.1,1896899
46,40941,1867,255,716,51,63052.4,6794925.3
50,29748,2013,188,1148,140,72456.8,6002357.6
54,16523,2856,127,1252,267,88334.5,4415935.1
58,6562,3606,80,784,257,63565.2,3254579.3
62,6917,3463,80,446,372,34828.7,1595757.8
66,5447,4819,42,344,474,24601.3,1044304.7
70,1813,8086,61,474,464,21318,1052885.7
74,734,9986,48,1985,324,20117.6,677342.3
78,473,10357,92,1492,218,27678.2,424931.9
82,237,10432,109,2373,130,8419.7,198145.2
86,379,9321,178,2643,60,5432.9,158308.2
90,165,8736,125,3362,52,8833.7,222517.5
94,181,8051,206,3215,22,13095.8,262523.5
98,173,6855,176,3235,38,13166,259304.9
102,145,4598,279,4270,26,14428.4,223843.4
106,50,3950,550,4524,8,19400.6,182089.3
110,65,2993,668,5474,4,29232.2,160017
114,78,2307,683,7146,6,46533.1,145577.5
118,12,1909,795,8221,0,76466.7,122841.6
122,9,1425,1268,10038,4,141089.5,95012.5
126,9,805,1353,11073,2,239907.6,69207
130,37,658,1510,13787,0,331133.3,48353.1
134,14,598,1424,13352,0,359645.4,31366.9
138,14,521,1529,17098,0,312194,18008.9
142,3,399,1683,18782,0,229575.9,9380.6
146,0,257,1154,14161,0,141191.7,4597.6
150,0,176,1218,13969,0,77292.6,2033.8
154,0,131,781,12107,0,37123.2,836.7
158,0,67,474,7113,0,13525.7,289.7
162,1,44,553,4922,0,3794.7,115
166,0,32,268,2699,0,1299,53.1
170,0,11,96,1429,0,392.2,58.1
174,0,0,124,691,0,51.2,46.2
178,0,0,39,286,0,149.7,41.2
182,0,5,55,279,0,81.4,30.6
186,0,0,15,107,0,76.1,12.3
190,0,0,7,40,0,96.7,2.5
194,0,0,4,4,0,57.5,0
198,0,0,1,3,0,43.4,0
